Adherents;Origine ;CCN_USNEF;Transport_2019;Logistique_2019;Total_2019;Transport_2020;Logistique_2020;Total_2020;Cotis_2021;Normalement;Comments
ATE;UNTF;;;;0.951;;;0.881;982;;
BARBERO;UNTF;;;;;;25;;3620;; négocié 
BREVET;UNTF;;20.177;0.306;;19.432;0.272;;2650;;
BRUNEEL;UNTF;;;;11.325;;;11.696;2320;;
C GUERY;UNTF;;7.65;1.95;;7.1;2.09;;3107;;
CEF;USNEF;OUI;;;;;;;1321;;
CHAVEGRAND;USNEF;OUI;;;48.743;;;52.168;530;;
CIE FR DES ENTREPOTS FRIGO;USNEF;OUI;;2.357;;;2.51;;3765;;
CONHEXA;UNTF;OUI;1.681;11.953;;1.733;12.93;;8588;; échelonné 
DENJEAN;UNTF;;19.4;;;18.225;;;2507;;
DUMONT;UNTF;;;;;;;;3026;;
EFA;USNEF;OUI;;11.581;;;12.657;;13170;;
EF DE BRESSUIRE;USNEF;OUI;;;1.848;;;1.769;1262;;
ETIENNE;USNEF;OUI;;0.439;;;0.449;;1084;;
ETOILE ROUTIERE;UNTF;;52.425;2.738;;52.91;2.785;;4726;;
FINANCIERE SAINT LOUIS;USNEF;OUI;4.763;19.812;;4.996;22.09;;18655;;
FREVIAL;UNTF;;;;27.255;;;27;3750;;
FRIGO 8;USNEF;OUI;;;1.806;;;1.646;962;;
FRIGO 8 MIGENNES;USNEF;OUI;;0.902;;;1.498;;2447;;
FRIGORIFIQUES DE MOULINS;USNEF;OUI;;0.678;;;0.842;;688;;
FRIMOR;USNEF;OUI;;;;;;;1166;;
FRIPACK;USNEF;OUI;;1.318;;;1.399;;1210;;
FROID LITTORAL;USNEF;OUI;;1.402;;;1.392;;2244;;
FROIDCOMBI;UNTF;;6.8;;;7.14;;;1050;;
GODFROY;UNTF;;17;7;;14;7;;5697;;
GROUPE ANTOINE;UNTF;;89.592;0.59;;89.357;0.789;;8969;; m3 ? 
GTFOI;UNTF;;;;;14.2;;;2705;;
JAMMET;UNTF;;;;40.574;;;36.675;4258;;
JH MESGUEN;UNTF;;81.283;;;82.462;;;4250;;
LAMBEC;UNTF;;;;;;;;1490;;
LAUQUE;UNTF;;15.5;;;14.1;;;2100;;
LAYAHE GLOBAL LOGISTIC;UNTF;;36;5;;41;6.5;;3640;;
LM MEDINA;UNTF;;;;;;;;1050;;
LOGISTIQUE INT. ALIMENTAIRE;UNTF;;35.142;0.079;;32.374;0.047;;2100;;
LOGISTISUD;USNEF;OUI;;7.746;;;8.169;;2453;;
MAGASINS GENERAUX DE BEZIERS;USNEF;OUI;;0.573;;;0.632;;582;;
MALGOGNE;UNTF;;17.712;0.254;;18.823;0.214;;4181;;
MARTIN BROWER France;UNTF;;;;131.206;;;112.552;8033;;
MAURY PRIMEURS;UNTF;;;;4.126;;;3.95;1545;;
MERCADIS SOMIMON;USNEF;OUI;;;;;2.925;;530;;
MESGUEN;UNTF;;50.616;;;47.635;;;3920;;
MESOTRANS;UNTF;;;;129.717;;;126.896;11681;; échelonné 
MONTAVILLE;UNTF;;;;;;;;1059;;
MUTUAL LOGISTICS ADF;USNEF;OUI;;21.808;;;21.822;;7445;;
NJS FARAMIA;UNTF;;14.127;0.985;;15.465;0.958;;2958;;
NORFRIGO;USNEF;OUI;;8.8;;;8.8;;6564;;
OLANO;UNTF;;309.231;39.078;;309.231;39.078;;18845;; échelonné 
PERRENOT LE CALVEZ NOYAL;UNTF;;69.7;7.121;;60.8;6.73;;10104;;
PERRIN PICHON;UNTF;;;;;;;;1677;;
POMONA;USNEF;OUI;;;;;;;12932;; hors camion 
POSTIC;UNTF;;;;;;;;4680;;
PRIMEVER;UNTF;;;;;;;;8000;;
RELAIS FRIGORIFIQUE A21;USNEF;OUI;;1.5;;;1.35;;1199;;
SOFRILOG;USNEF;OUI;36.969;101.826;;34.077;107.956;;51494;;
SOMATREF;USNEF;OUI;;;;;;;634;;
SOMINVAL;USNEF;OUI;;0.549;;;0.814;;530;;
STEF;USNEF/UNTF;OUI;1550.859;472.516;;1434.46;486.187;;86879;;
STFV;UNTF;;7.491;;;8.247;;;1435;;
STG;UNTF;;;;;;;;8000;;
STRUMIA;UNTF;;12.149;;;11.148;;;1715;;
SUPERGEL 28;USNEF;OUI;;;;;;;904;;
TBM LOGISTIQUE;UNTF;;;;3.108;;;2.817;1015;;
TELIFRAIS;USNEF;OUI;63.034;32.923;;60.679;31.313;;12516;;
TFMO;UNTF;;27.446;;;26.503;;;4390;;
TMF;UNTF;;;;51.261;;;47.516;4256;;
TRADIF;UNTF;;12;11;;;;;1182;;
TRANSPORTS GREGORY BITTE;UNTF;;3.315;;;3.278;;;1037;;
TRANSPORTS NICOLAS VERAY;UNTF;;8.245;;;8.081;;;2150;;
TVE LOGISTIQUE;UNTF;;25.5;1.221;;30;2.168;;3840;;
VERBEKE;UNTF;;;;;;;;1037;;
XPO SUPPLY CHAIN France;USNEF/UNTF;OUI;23.11;53.703;;20.565;53.364;;20587;;
FRIGO 84;LCLF ;;;;;;;;1 779;; prorata 
